Name,Organization,Start_Date,End_Date,Deadline,Total_Prize,Categories,Location,Virtual_Option,URL,Relevance_to_DefuzzyAI,Application_Status,Notes
ETHGlobal Brussels,ETHGlobal,2025-03-07,2025-03-09,2025-02-28,$100000,"DeFi,Infrastructure,AI",Brussels Belgium,Yes,https://ethglobal.com/events/brussels,High - Web3 AI integration opportunities,Not Applied,Major European Web3 event
Solana Radar Hackathon,Solana Foundation,2025-02-15,2025-03-15,2025-02-10,$200000,"Web3,DeFi,Gaming,AI",Global,Yes,https://solana.com/hackathon,High - Multi-chain AI routing,Not Applied,Month-long virtual hackathon
AI4Good Global Summit,ITU & XPRIZE,2025-02-03,2025-02-05,2025-01-20,$50000,"AI for Good,Social Impact",Geneva Switzerland,Yes,https://aiforgood.itu.int,Very High - Aligns with helping people help people,Not Applied,UN backed AI for social good
Polygon zkEVM Builder Jam,Polygon Labs,2025-01-25,2025-01-27,2025-01-20,$75000,"zkEVM,Scaling,DeFi",Virtual,Yes,https://polygon.technology/blog/polygon-zkevm-builder-jam,High - Already deployed on Polygon zkEVM,Not Applied,Perfect fit for existing contracts
XRPL Hackathon 2025,Ripple,2025-03-01,2025-03-30,2025-02-25,$1000000,"Payments,DeFi,Enterprise",Global,Yes,https://xrpl.org/hackathon,Medium - Cross-chain payment integration,Not Applied,Largest prize pool in crypto
Near AI Incubator,Near Protocol,2025-02-01,2025-04-01,2025-01-25,$500000,"AI,Web3,dApps",Global,Yes,https://near.org/ai-incubator,High - AI-first blockchain platform,Not Applied,8-week intensive program
Chainlink Spring Hackathon,Chainlink Labs,2025-04-01,2025-04-30,2025-03-25,$300000,"Oracles,DeFi,Real World Assets",Global,Yes,https://chain.link/hackathon,Medium - Oracle integration for AI data feeds,Not Applied,Focus on real-world data integration
Optimism RetroPGF Round 5,Optimism Collective,2025-03-15,2025-05-15,2025-03-10,$30000000,"Public Goods,Infrastructure,AI",Global,Yes,https://app.optimism.io/retropgf,Very High - Public goods funding for AI Symphony,Not Applied,Retroactive funding for impact
Filecoin FVM Hackathon,Protocol Labs,2025-02-20,2025-03-20,2025-02-15,$400000,"Storage,Compute,AI",Global,Yes,https://fvm.filecoin.io,High - Decentralized compute for AI workloads,Not Applied,Smart contracts on storage network
Base Build-a-thon,Coinbase,2025-01-15,2025-02-15,2025-01-10,$250000,"Consumer Apps,DeFi,Social",Global,Yes,https://base.org/build,Medium - Consumer-focused L2 deployment,Not Applied,Focus on mainstream adoption
ETHDenver 2025,ETHDenver,2025-02-28,2025-03-02,2025-02-20,$1000000,"All Categories,Community",Denver USA,Limited,https://ethdenver.com,High - Largest Ethereum community event,Not Applied,Major networking and building opportunity
StarkNet Dynamic Degen,StarkWare,2025-01-20,2025-02-20,2025-01-15,$150000,"ZK,Scaling,Gaming",Global,Yes,https://starknet.io/hackathon,Medium - ZK-STARK scaling solutions,Not Applied,Cairo smart contract platform
